year,species,bud_burst,first_leaf,full_leaf,open_flowers,ripe_fruit,colored_leaves,leaves_dropped
1887,Hamamelis virginiana,117,123,136,281,253,278,285
1887,Platanus occidentalis,128,135,150,188,273,268,288
1887,Gymnocladus dioicus,130,138,148,159,999,268,278
1887,Rhus typhina,128,135,145,183,263,268,283
1887,Acer saccharinum,112,128,136,100,142,263,273
1887,Acer saccharum,116,130,136,118,232,268,278
1887,Acer negundo,116,131,138,123,261,268,285
1887,Aesculus glabra,113,123,134,140,283,268,287
1887,Diospyros virginiana,131,136,146,999,263,274,283
1887,Fraxinus americana,126,135,145,999,999,268,275
1887,Fraxinus nigra,136,142,150,999,999,263,275
1888,Cornus florida,126,141,149,136,264,274,288
1888,Juglans nigra,133,147,164,165,280,274,286
1888,Carya ovata,130,140,149,146,274,279,287
1888,Carya glabra,128,141,148,147,274,286,304
1888,Populus tremuloides,121,133,141,104,146,301,308
1888,Populus deltoides,124,135,146,124,164,272,287
1888,Salix nigra,114,123,133,136,157,284,304
1888,Ostrya virginiana,119,127,139,128,245,276,304
1888,Quercus velutina,132,143,150,134,286,294,306
1888,Quercus alba,132,146,156,149,282,292,313
1888,Quercus macrocarpa,134,146,157,147,284,296,304
1888,Quercus bicolor,132,145,150,134,284,294,306
1888,Ulmus americana,116,129,139,106,149,284,296
1888,Maclura pomifera,135,149,164,171,305,304,323
1888,Sassafras albidum,134,142,157,137,269,275,292
1888,Hamamelis virginiana,129,136,146,288,264,274,286
1888,Platanus occidentalis,139,147,167,206,284,286,299
1888,Gymnocladus dioicus,144,152,165,172,999,276,284
1888,Rhus typhina,141,148,164,177,266,266,284
1888,Acer saccharinum,117,129,138,102,149,275,282
1888,Acer saccharum,118,132,148,121,245,282,303
1888,Acer negundo,120,134,140,125,270,279,286
1888,Aesculus glabra,121,131,136,145,999,269,284
1888,Diospyros virginiana,141,151,166,999,999,276,300
1888,Fraxinus americana,132,143,151,126,184,264,279
1888,Fraxinus nigra,133,144,152,131,186,264,275
1889,Cornus florida,117,132,138,130,288,281,283
1889,Juglans nigra,120,131,142,147,263,265,278
1889,Carya ovata,124,129,133,142,273,273,282
1889,Carya glabra,126,129,132,137,271,281,282
1889,Populus tremuloides,110,116,125,93,130,297,303
1889,Populus deltoides,128,131,136,114,154,281,285
1889,Salix nigra,109,123,132,127,141,281,285
1889,Ostrya virginiana,109,126,129,121,254,281,283
1889,Quercus velutina,128,130,137,130,274,297,303
1889,Quercus alba,127,130,136,134,268,297,303
1889,Quercus macrocarpa,124,129,134,132,273,281,283
1889,Quercus bicolor,121,128,134,130,273,281,285
1889,Ulmus americana,111,126,129,102,137,273,291
1889,Maclura pomifera,128,131,140,171,297,297,301
1889,Sassafras albidum,119,130,136,134,248,273,282
1889,Hamamelis virginiana,122,127,131,274,274,263,273
1889,Platanus occidentalis,127,131,142,999,999,281,283
1889,Gymnocladus dioicus,128,133,137,163,999,263,277
1889,Rhus typhina,121,132,138,175,263,266,273
1889,Acer saccharinum,113,127,130,104,139,266,273
1889,Acer saccharum,113,128,131,113,227,268,282
1889,Acer negundo,113,127,131,111,258,273,282
1889,Aesculus glabra,110,122,127,132,283,281,282
1889,Diospyros virginiana,129,131,137,999,999,273,282
1889,Fraxinus americana,120,128,135,999,999,263,271
1889,Fraxinus nigra,121,128,137,999,999,267,271
1890,Cornus florida,121,132,150,137,268,275,288
1890,Juglans nigra,125,138,155,158,274,275,283
1890,Carya ovata,120,136,146,152,274,278,286
1890,Carya glabra,124,142,150,155,278,283,286
1890,Populus tremuloides,111,117,127,104,142,297,315
1890,Populus deltoides,132,137,150,127,155,297,303
1890,Salix nigra,104,119,132,128,150,297,310
1890,Ostrya virginiana,112,120,132,124,232,283,298
1890,Quercus velutina,124,138,148,138,281,297,310
1890,Quercus alba,126,144,153,147,278,297,314
1890,Quercus macrocarpa,124,138,150,146,281,297,309
1890,Quercus bicolor,123,138,150,146,281,283,298
1890,Ulmus americana,106,122,138,107,140,280,301
1890,Maclura pomifera,133,146,156,169,258,275,286
1890,Sassafras albidum,117,137,150,132,232,275,286
1890,Hamamelis virginiana,127,131,138,278,258,275,286
1890,Platanus occidentalis,133,142,151,201,999,281,298
1890,Gymnocladus dioicus,138,147,155,161,999,276,281
1890,Rhus typhina,132,140,154,176,237,271,280
1890,Acer saccharinum,103,120,135,98,154,281,296
1890,Acer saccharum,115,128,140,114,999,276,298
1890,Acer negundo,112,125,138,115,263,276,301
1890,Aesculus glabra,114,126,136,144,253,283,301
1890,Diospyros virginiana,136,144,157,999,999,283,289
1890,Fraxinus americana,118,132,144,999,999,274,283
